timestamp,temperature,pH,turbidity_proxy,predicted_do,predicted_nh3,p_high_teacher,weak_p_high,p_high_cal,risk_argmax,risk_blended,conf_score,high_confidence,proba_HIGH,proba_LOW,proba_MEDIUM
2025-01-01 00:00:00,27.59802849180674,7.937212429474759,0.5532919474321365,4.170613424171694,0.029450722485824338,0.0,0.62499999984375,0.17752795188592316,MEDIUM,LOW,0.8224720481140768,False,0.0,0.02246508803885853,0.9775349119611414
2025-01-01 00:30:00,27.21704141929729,7.87236511750717,0.6775653913428776,4.170613424171694,0.02856092281465156,0.0,0.62499999984375,0.17752795188592316,MEDIUM,LOW,0.8224720481140768,False,0.0,0.02246508803885853,0.9775349119611414
2025-01-01 01:00:00,27.68861312286042,7.941377529689748,0.3704362550751043,4.170613424171694,0.03065073018970064,0.0,0.499999999875,0.14053927244821085,MEDIUM,LOW,0.8594607275517891,True,0.0,0.02246508803885853,0.9775349119611414
2025-01-01 01:30:00,28.21381791384482,7.804892661108457,0.5344995295683519,4.1811648615549135,0.030799124291531817,0.0,0.499999999875,0.14053927244821085,MEDIUM,LOW,0.8594607275517891,True,0.0,0.02246508803885853,0.9775349119611414
2025-01-01 02:00:00,27.159507975166,7.822741509632801,0.6129583358551338,4.170613424171694,0.023460585763698073,0.0,0.62499999984375,0.17752795188592316,MEDIUM,LOW,0.8224720481140768,False,0.0,0.014941714432923293,0.9850582855670766
2025-01-01 02:30:00,27.15951782583049,8.020200696104446,0.33753636772713735,4.170613424171694,0.017927935420061943,0.0,0.499999999875,0.14053927244821085,MEDIUM,LOW,0.8594607275517891,True,0.0,0.014941714432923293,0.9850582855670766
2025-01-01 03:00:00,28.24752768930443,8.322581073998252,0.38815612407060957,4.1811648615549135,0.0346242951111536,0.0,0.499999999875,0.14053927244821085,MEDIUM,LOW,0.8594607275517891,True,0.0,0.02246508803885853,0.9775349119611414
2025-01-01 03:30:00,27.76046083749175,7.535985040775635,0.6621783428494454,4.108220317607727,0.018032760438872794,0.0,0.62499999984375,0.17752795188592316,MEDIUM,LOW,0.8224720481140768,False,0.0,0.014941714432923293,0.9850582855670766
2025-01-01 04:00:00,27.01831536843903,7.808199378275377,0.32782935037415356,4.170613424171694,0.027241098915374077,0.0,0.499999999875,0.14053927244821085,MEDIUM,LOW,0.8594607275517891,True,0.0,0.02246508803885853,0.9775349119611414
2025-01-01 04:30:00,27.62553602615158,7.582103298101263,0.2827198804104235,4.108220317607727,0.019184401535611795,0.0,0.499999999875,0.14053927244821085,MEDIUM,LOW,0.8594607275517891,True,0.0,0.014941714432923293,0.9850582855670766
2025-01-01 05:00:00,27.02194938431252,8.164325228700978,0.6363075308775975,4.170613424171694,0.026126149396115864,0.0,0.62499999984375,0.17752795188592316,MEDIUM,LOW,0.8224720481140768,False,0.0,0.02246508803885853,0.9775349119611414
