hour,temperature,pH,turbidity,do
0,0.5469846134253201,0.2077774304671031,0.40881671857122504,0.5698748423867501
1,0.6411461169334095,0.2119727395325352,0.4376846058945939,0.6018299406146981
2,0.6125808896277607,0.197479252706838,0.3904119241829445,0.6755022346028993
3,0.6080464556065166,0.19088543332756308,0.4576546089185323,0.621661282045835
4,0.5647990540507419,0.21476666614779488,0.4322004491898376,0.6273013353494551
5,0.580771418471607,0.21463575909198304,0.4379599888114572,0.6233286717458689
6,0.6392367523895528,0.19221165529094386,0.437770644972254,0.6417584746517202
7,0.6269623080299229,0.19786737192897927,0.43211919722580105,0.6248903194579029
8,0.642326133423792,0.204867397724349,0.4326131185521338,0.5831867883708916
9,0.5743882873397517,0.20311996896165763,0.45871753598411785,0.6393994916289132
10,0.6112092640112161,0.22948928516006203,0.45904302667233426,0.5816067782999943
11,0.6197581995569731,0.20076746053647668,0.393361889162537,0.6326350811768812
12,0.550654391466827,0.21380194202037386,0.39797797869953794,0.5839925029365403
13,0.5874356969545418,0.18568528734172138,0.4284278840493088,0.592554603258359
14,0.573755588600899,0.223578949129245,0.4729591311693295,0.6275166176762794
15,0.6115134913411672,0.21410884883612252,0.481552698875243,0.6406482457401877
16,0.611517550386914,0.19546446951029972,0.43064319323088385,0.5901236039903098
17,0.6151104261028106,0.19553179629720013,0.4429741749992817,0.5395278494428382
18,0.5614881438653339,0.2013725465084637,0.4127044374627468,0.5744627370842064
19,0.5785368269564446,0.21041781103871246,0.42266708096625893,0.6216488067160056
20,0.5619751310059289,0.19745069823135222,0.4080829966397575,0.6583558856769618
21,0.6272681314570346,0.19415625149412583,0.45349973580852243,0.6448831611634943
22,0.6389079967596099,0.2174646201588601,0.44447823133774234,0.6225026610489196
23,0.5734543773500043,0.20456855090798712,0.4298195276591248,0.6024231902988624
