pH,prediction
6.0,5.165358670751515
6.125,5.38243694194278
6.25,5.401024232620187
6.375,5.240527854178715
6.5,4.596600319418498
6.625,4.349437633574878
6.75,4.349437633574878
6.875,4.349437633574878
7.0,4.349437633574878
7.125,4.349437633574878
7.25,4.309982288843618
7.375,4.278973082577439
7.5,4.278973082577439
7.625,4.278973082577439
7.75,4.751305516620111
7.875,4.3341992819444535
8.0,4.3341992819444535
8.125,4.3341992819444535
8.25,4.3341992819444535
8.375,4.3341992819444535
8.5,4.3341992819444535
8.625,4.3356250747742715
8.75,4.3356250747742715
8.875,4.400108796362027
9.0,4.418982365615271
